image_path,country
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\25.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\26.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\27.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\28.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\29.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\30.png,Hungary
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\31.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\32.png,Uruguay
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\33.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\34.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\35.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\36.png,Cambodia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\37.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\38.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\39.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\40.png,Bulgaria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\41.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\42.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\43.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\44.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\45.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\46.png,Ukraine
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\47.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\48.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\49.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\50.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\51.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\52.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\53.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\54.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\55.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\56.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\57.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\58.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\59.png,Indonesia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\60.png,Sweden
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\61.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\62.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\63.png,Serbia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\64.png,Ghana
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\65.png,Ireland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\66.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\67.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\68.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\69.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\70.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\71.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\72.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\73.png,Greenland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\74.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\75.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\76.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\77.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\78.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\79.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\80.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\81.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\82.png,Romania
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\83.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\84.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\85.png,Colombia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\86.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\87.png,India
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\88.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\89.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\90.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\91.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\92.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\93.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\94.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\95.png,Ghana
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\96.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\97.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\98.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\99.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\100.png,Cambodia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\101.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\102.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\103.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\104.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\105.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\106.png,Cambodia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\107.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\108.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\109.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\110.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\111.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\112.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\113.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\114.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\115.png,Botswana
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\116.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\117.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\118.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\119.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\120.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\121.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\122.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\123.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\124.png,Sweden
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\125.png,Senegal
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\126.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\127.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\128.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\129.png,Botswana
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\130.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\131.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\132.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\133.png,Ukraine
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\134.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\135.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\136.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\137.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\138.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\139.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\140.png,Lithuania
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\141.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\142.png,India
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\143.png,Spain
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\144.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\145.png,Ukraine
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\146.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\147.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\148.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\149.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\150.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\151.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\152.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\153.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\154.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\155.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\156.png,Bulgaria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\157.png,Colombia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\158.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\159.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\160.png,Latvia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\161.png,Japan
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\162.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\163.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\164.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\165.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\166.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\167.png,Japan
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\168.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\169.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\170.png,Italy
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\171.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\172.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\173.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\174.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\175.png,Thailand
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\176.png,Italy
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\177.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\178.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\179.png,Greece
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\180.png,Hungary
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\181.png,Bolivia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\182.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\183.png,Denmark
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\184.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\185.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\186.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\187.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\188.png,India
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\189.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\190.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\191.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\192.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\193.png,Kyrgyzstan
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\194.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\195.png,Czechia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\196.png,United Kingdom
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\197.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\198.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\199.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\200.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\201.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\202.png,Sri Lanka
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\203.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\204.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\205.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\206.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\207.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\208.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\209.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\210.png,Greece
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\211.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\212.png,Indonesia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\213.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\214.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\215.png,Uruguay
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\216.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\217.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\218.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\219.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\220.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\221.png,Mongolia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\222.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\223.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\224.png,Slovakia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\225.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\226.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\227.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\228.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\229.png,Russia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\230.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\231.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\232.png,India
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\233.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\234.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\235.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\236.png,Argentina
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\237.png,South Africa
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\238.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\239.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\240.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\241.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\242.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\243.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\244.png,Botswana
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\245.png,Turkey
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\246.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\247.png,Kenya
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\248.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\249.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\250.png,Senegal
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\251.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\252.png,Hungary
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\253.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\254.png,Mexico
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\255.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\256.png,Bolivia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\257.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\258.png,Nigeria
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\259.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\260.png,Finland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\261.png,Poland
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\262.png,Uruguay
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\263.png,Hungary
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\264.png,India
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\265.png,Brazil
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\266.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\267.png,Thailand
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\268.png,Mali
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\269.png,Australia
E:\UCI\CS 178\Project\archive\Streetview_Image_Dataset_Kaggle_25k\270.png,Brazil
